bloomberg_ticker,yahoo,data_provider,signals_ticker
EPIQ US,,eodhd,EPIQ.US
MBUU US,MBUU,eodhd,MBUU.US
VIA US,,eodhd,VIA.US
ULVR NA,,eodhd,ULVR.AS
PLA US,,eodhd,PLA.US
FGL CN,,eodhd,FGL.TO
LOCAL FP,,eodhd,LOCAL.PA
9898989D US,,eodhd,9898989D.US
CNET US,,eodhd,CNET.US
SERV US,,eodhd,SERV.US
SVMK US,,eodhd,SVMK.US
FER SM,FER.MC,eodhd,FER.MC
CMNT US,,eodhd,CMNT.US
8253 JP,8253.T,yahoo,8253.T
TSG SJ,,eodhd,TSG.JSE
CRGN US,,eodhd,CRGN.US
INVP LN,INVP.L,eodhd,INVP.LSE
037150 KS,,eodhd,037150.KQ
1055 HK,1055.HK,eodhd,1055.HK
3993 HK,3993.HK,eodhd,3993.HK
084870 KS,,eodhd,084870.KQ
131970 KS,131970.KQ,eodhd,131970.KQ
MWI CN,,eodhd,MWI.TO
OUT1V FH,OUT1V.HE,eodhd,OUT1V.HE
GEI CN,GEI.TO,eodhd,GEI.TO
BHS GR,,eodhd,BHS.F
IPS CN,,eodhd,IPS.TO
APFH US,,eodhd,APFH.US
6336 JP,,yahoo,
THO CN,,eodhd,THO.TO
RGLS US,,eodhd,RGLS.US
CLFC US,,eodhd,CLFC.US
2810 JP,2810.T,yahoo,2810.T
194700 KS,,eodhd,194700.KQ
ECOR US,,eodhd,ECOR.US
XRAY US,XRAY,eodhd,XRAY.US
OX2 SS,OX2.ST,eodhd,OX2.ST
ATG LN,ATG.L,eodhd,ATG.LSE
1868 HK,,eodhd,1868.HK
WFG CN,WFG.TO,eodhd,WFG.TO
GLB ID,GL9.IR,eodhd,GL9.IR
INSY US,,eodhd,INSY.US
GPRK US,GPRK,eodhd,GPRK.US
6457 JP,,yahoo,
MNI US,,eodhd,MNI.US
GFINTERO MF,,eodhd,GFINTERO.MX
SUN AU,SUN.AX,eodhd,SUN.AU
066570 KS,066570.KS,eodhd,066570.KQ
NPI CN,NPI.TO,eodhd,NPI.TO
IMN CN,,eodhd,IMN.TO
IGB MK,,eodhd,IGB.KLSE
KBANK TB,,eodhd,KBANK.BK
CDNS US,CDNS,eodhd,CDNS.US
ARPN SW,,eodhd,ARPN.SW
INS1V US,,eodhd,INS1V.US
6702 JP,6702.T,yahoo,6702.T
1234 TT,,eodhd,1234.TW
6505 JP,,yahoo,
MAJOR TB,,eodhd,MAJOR.BK
MALL US,,eodhd,MALL.US
887 HK,,eodhd,0887.HK
6908 JP,6908.T,yahoo,6908.T
MEAL3 BZ,,eodhd,MEAL3.SA
JIVE US,,eodhd,JIVE.US
WIHL SS,,eodhd,WIHL.ST
BUL IM,,eodhd,BUL.MI
TTE FP,TTE.PA,eodhd,TTE.PA
CHTR US,CHTR,eodhd,CHTR.US
HWCC US,,eodhd,HWCC.US
CRBP US,,eodhd,CRBP.US
MTG US,MTG,eodhd,MTG.US
BKN AU,,eodhd,BKN.AU
QTM US,,eodhd,QTM.US
GWH US,GWH,eodhd,GWH.US
6464 JP,,yahoo,
3377 HK,3377.HK,eodhd,3377.HK
SFN US,,eodhd,SFN.US
CLS CN,CLS.TO,eodhd,CLS.TO
KCP US,,eodhd,KCP.US
MEO AU,,eodhd,MEO.AU
3036 TT,,eodhd,3036.TW
SCORE NO,,eodhd,SCORE.OL
RDA US,,eodhd,RDA.US
PIR US,,eodhd,PIR.US
EQNR NO,EQNR.OL,eodhd,EQNR.OL
1720 JP,1720.T,yahoo,1720.T
WFII US,,eodhd,WFII.US
BFIN US,,eodhd,BFIN.US
A2B AU,,eodhd,A2B.AU
ALT SJ,,eodhd,ALT.JSE
SKI AU,,eodhd,SKI.AU
MDGL US,MDGL,eodhd,MDGL.US
DWRE US,,eodhd,DWRE.US
CHUY US,CHUY,eodhd,CHUY.US
1368 HK,1368.HK,eodhd,1368.HK
LLB SW,,eodhd,LLB.SW
8464 TT,8464.TW,eodhd,8464.TW
HEAD LN,,eodhd,HEAD.LSE
DLP US,,eodhd,DLP.US
WTGN SW,,eodhd,WTGN.SW
CSSC SP,,eodhd,CSSC.SG
CIBN SW,,eodhd,CIBN.SW
CPK US,CPK,eodhd,CPK.US
5214 JP,5214.T,yahoo,5214.T
GEN US,,eodhd,GEN.US
PIH AU,,eodhd,PIH.AU
ZIP AU,ZIP.AX,eodhd,ZIP.AU
2029 TT,,eodhd,2029.TW
ISAT IJ,,eodhd,ISAT.JK
IFF US,IFF,eodhd,IFF.US
MVNR US,,eodhd,MVNR.US
FCFS US,FCFS,eodhd,FCFS.US
DK US,DK,eodhd,DK.US
SOMX US,,eodhd,SOMX.US
2669 HK,2669.HK,eodhd,2669.HK
LFST US,LFST,eodhd,LFST.US
KUD SW,,eodhd,KUD.SW
FTSI US,,eodhd,FTSI.US
DLG IM,DLG.MI,eodhd,DLG.MI
POP SM,,eodhd,POP.MC
WCP CN,WCP.TO,eodhd,WCP.TO
CAR US,CAR,eodhd,CAR.US
YNHB MK,,eodhd,YNHB.KLSE
SLIGR NA,,eodhd,SLIGR.AS
FAB US,,eodhd,FAB.US
SRCG SW,,eodhd,SRCG.SW
KAMBI SS,KAMBI.ST,eodhd,KAMBI.ST
OKTA US,OKTA,eodhd,OKTA.US
STM FP,,eodhd,STM.PA
MILS3 BZ,,eodhd,MILS3.SA
3046 TT,,eodhd,3046.TW
BKL AU,BKL.AX,eodhd,BKL.AU
ARZ CN,,eodhd,ARZ.TO
INTRUM SS,INTRUM.ST,eodhd,INTRUM.ST
CCA CN,CCA.TO,eodhd,CCA.TO
ELC IM,,eodhd,ELC.MI
AMR US,AMR,eodhd,AMR.US
SPT LN,SPT.L,eodhd,SPT.LSE
VVX US,VEC,eodhd,VVX.US
2222 JP,2222.T,yahoo,2222.T
RRTS US,,eodhd,RRTS.US
WHC AU,WHC.AX,eodhd,WHC.AU
HVN AU,HVN.AX,eodhd,HVN.AU
APHA CN,,eodhd,APHA.TO
UNVR IJ,,eodhd,UNVR.JK
MCD US,MCD,eodhd,MCD.US
ARCB US,ARCB,eodhd,ARCB.US
RHT US,,eodhd,RHT.US
AVT FP,,eodhd,AVT.PA
ATEC US,ATEC,eodhd,ATEC.US
PHNX LN,PHNX.L,eodhd,PHNX.LSE
6004 TT,,eodhd,6004.TWO
ABEO US,,eodhd,ABEO.US
USG US,,eodhd,USG.US
GLYT US,,eodhd,GLYT.US
AIV US,,eodhd,AIV.US
DL US,,eodhd,DL.US
XEL US,XEL,eodhd,XEL.US
DGH SJ,,eodhd,DGH.JSE
000370 KS,000370.KS,eodhd,000370.KQ
1548 HK,1548.HK,eodhd,1548.HK
SLDB US,,eodhd,SLDB.US
PSSA3 BZ,PSSA3.SA,eodhd,PSSA3.SA
HBAN US,HBAN,eodhd,HBAN.US
STMN SW,,eodhd,STMN.SW
V US,V,eodhd,V.US
PAT GR,PAT.DE,eodhd,PAT.XETRA
BPCI IM,,eodhd,BPCI.MI
TOL AU,,eodhd,TOL.AU
ATSI US,,eodhd,ATSI.US
CULTIBAB MF,,eodhd,CULTIBAB.MX
FCSX US,,eodhd,FCSX.US
002790 KS,002790.KS,eodhd,002790.KQ
PBI US,PBI,eodhd,PBI.US
AVR US,,eodhd,AVR.US
PWF CN,,eodhd,PWF.TO
RADL3 BZ,RADL3.SA,eodhd,RADL3.SA
CYPB US,,eodhd,CYPB.US
ALTR PL,ALTR.LS,eodhd,ALTR.LS
RDI LN,,eodhd,RDI.LSE
CHEF US,CHEF,eodhd,CHEF.US
PCS US,,eodhd,PCS.US
RXN US,,eodhd,RXN.US
ATS AV,ATS.VI,eodhd,ATS.VI
2883 HK,2883.HK,eodhd,2883.HK
IPAS US,,eodhd,IPAS.US
BC8 GR,BC8.DE,eodhd,BC8.XETRA
FRE US,,eodhd,FRE.US
FLB US,,eodhd,FLB.US
TSPT US,,eodhd,TSPT.US
TMST US,TMST,eodhd,TMST.US
GNCMA US,,eodhd,GNCMA.US
RLMD US,RLMD,eodhd,RLMD.US
CRNX US,CRNX,eodhd,CRNX.US
CSAN3 BZ,CSAN3.SA,eodhd,CSAN3.SA
XON US,,eodhd,XON.US
AJB LN,AJB.L,eodhd,AJB.LSE
AOT TB,,eodhd,AOT.BK
4185 JP,4185.T,yahoo,4185.T
PMZ-U CN,,eodhd,PMZ-UN.TO
SYNO US,,eodhd,SYNO.US
WMB US,WMB,eodhd,WMB.US
TROW US,TROW,eodhd,TROW.US
PENX US,,eodhd,PENX.US
GLDD US,,eodhd,GLDD.US
WPSC US,,eodhd,WPSC.US
TRNS US,TRNS,eodhd,TRNS.US
PKN PW,,eodhd,PKN.WAR
AOUT US,,eodhd,AOUT.US
FARO US,FARO,eodhd,FARO.US
ICBC US,,eodhd,ICBC.US
NAB AU,NAB.AX,eodhd,NAB.AU
INFO US,,eodhd,INFO.US
MYGN US,MYGN,eodhd,MYGN.US
JSE SJ,,eodhd,JSE.JSE
WLN FP,WLN.PA,eodhd,WLN.PA
UTL US,UTL,eodhd,UTL.US
MAPI IJ,,eodhd,MAPI.JK
COST LN,,eodhd,COST.LSE
WBX US,WBX,eodhd,WBX.US
VT9 LN,,eodhd,VT9.LSE
SEV FP,,eodhd,SEV.PA
ZOLL US,,eodhd,ZOLL.US
9037 JP,,yahoo,
PROX BB,PROX.BR,eodhd,PROX.BR
ICGE US,,eodhd,ICGE.US
HIMX US,HIMX,eodhd,HIMX.US
TPS1V FH,,eodhd,TPS1V.HE
3404 JP,,yahoo,
FPRX US,,eodhd,FPRX.US
144 HK,0144.HK,eodhd,0144.HK
TSE US,TSE,eodhd,TSE.US
SOLG LN,SOLG.L,eodhd,SOLG.LSE
3622 TT,,eodhd,3622.TW
OMIC US,OMIC,eodhd,OMIC.US
ERII US,ERII,eodhd,ERII.US
SABR US,SABR,eodhd,SABR.US
NCC US,,eodhd,NCC.US
AKGRT TI,,eodhd,AKGRT.IS
ASC NO,,eodhd,ASC.OL
KLDX US,,eodhd,KLDX.US
JST AU,,eodhd,JST.AU
AMC US,AMC,eodhd,AMC.US
AHSL SS,,eodhd,AHSL.ST
CACH US,,eodhd,CACH.US
ALSC3 BZ,,eodhd,ALSC3.SA
PHM SM,PHM.MC,eodhd,PHM.MC
DTEX3 BZ,,eodhd,DTEX3.SA
STFC US,,eodhd,STFC.US
AOSL US,AOSL,eodhd,AOSL.US
1088 HK,1088.HK,eodhd,1088.HK
SPWH US,SPWH,eodhd,SPWH.US
UCBI US,UCBI,eodhd,UCBI.US
1979 JP,1979.T,yahoo,1979.T
BLUD US,,eodhd,BLUD.US
SAM US,SAM,eodhd,SAM.US
BIO PW,,eodhd,BIO.WAR
SRDX US,SRDX,eodhd,SRDX.US
CYTX US,,eodhd,CYTX.US
AXP US,AXP,eodhd,AXP.US
JRN US,,eodhd,JRN.US
MCO US,MCO,eodhd,MCO.US
PROTCT NO,,eodhd,PROTCT.OL
ANH US,,eodhd,ANH.US
BEBE US,,eodhd,BEBE.US
S30 FP,S30.PA,eodhd,S30.PA
6962 JP,6962.T,yahoo,6962.T
APEI US,APEI,eodhd,APEI.US
GCC LN,,eodhd,GCC.LSE
BHE US,BHE,eodhd,BHE.US
ZU US,,eodhd,ZU.US
VIG AV,VIG.VI,eodhd,VIG.VI
6349 JP,,yahoo,
4183 JP,4183.T,yahoo,4183.T
000800 KS,,eodhd,000800.KQ
ISSX US,,eodhd,ISSX.US
WAWI NO,WAWI.OL,eodhd,WAWI.OL
2892 TT,2892.TW,eodhd,2892.TW
KNL US,,eodhd,KNL.US
AAN AU,,eodhd,AAN.AU
APD US,APD,eodhd,APD.US
SURE US,,eodhd,SURE.US
034730 KS,034730.KS,eodhd,034730.KQ
TRAD LN,,eodhd,TRAD.LSE
GIMO US,,eodhd,GIMO.US
SKYW US,SKYW,eodhd,SKYW.US
JD US,JD,eodhd,JD.US
NPH SJ,NPH.JO,eodhd,NPH.JSE
BIOAB SS,,eodhd,BIOAB.ST
VNDA US,,eodhd,VNDA.US
WWCA US,,eodhd,WWCA.US
CTT PL,CTT.LS,eodhd,CTT.LS
CDE US,CDE,eodhd,CDE.US
SDIPB SS,SDIP-B.ST,eodhd,SDIP-B.ST
3433 JP,3433.T,yahoo,3433.T
PWEI US,,eodhd,PWEI.US
GHM US,,eodhd,GHM.US
BURL US,BURL,eodhd,BURL.US
WPG LN,,eodhd,WPG.LSE
PFG LN,PFG.L,eodhd,PFG.LSE
TXCO US,,eodhd,TXCO.US
CD US,CD,eodhd,CD.US
2387 TT,,eodhd,2387.TW
1299 HK,1299.HK,eodhd,1299.HK
SYNEX TB,,eodhd,SYNEX.BK
6153 TT,,eodhd,6153.TW
DELTA TB,,eodhd,DELTA.BK
SAGE US,SAGE,eodhd,SAGE.US
EAS US,,eodhd,EAS.US
BPH PW,,eodhd,BPH.WAR
6279 JP,,yahoo,
WAB US,WAB,eodhd,WAB.US
SBT LN,,eodhd,SBT.LSE
LONR LN,,eodhd,LONR.LSE
097950 KS,097950.KS,eodhd,097950.KQ
1117 HK,1117.HK,eodhd,1117.HK
PHAR LN,,eodhd,PHAR.LSE
CW US,CW,eodhd,CW.US
4956 JP,,yahoo,
EBUS NA,EBUS.AS,eodhd,EBUS.AS
4902 JP,4902.T,yahoo,4902.T
9905 TT,,eodhd,9905.TW
4706 JP,,yahoo,
KBC GR,,eodhd,KBC.XETRA
3376 TT,3376.TW,eodhd,3376.TW
KERX US,,eodhd,KERX.US
INDY IJ,,eodhd,INDY.JK
RKLY US,RKLY,eodhd,RKLY.US
PWTN SW,,eodhd,PWTN.SW
BIG SP,,eodhd,BIG.SG
OSK CN,OSK.TO,eodhd,OSK.TO
ACAP US,,eodhd,ACAP.US
999 HK,,eodhd,0999.HK
DVO LN,,eodhd,DVO.LSE
6849 JP,6849.T,yahoo,6849.T
KST SP,,eodhd,KST.SG
TRMR US,,eodhd,TRMR.US
HMST US,HMST,eodhd,HMST.US
7873 JP,,yahoo,
AHY AU,,eodhd,AHY.AU
FMC US,FMC,eodhd,FMC.US
CUI US,,eodhd,CUI.US
2464 TT,,eodhd,2464.TW
079550 KS,079550.KS,eodhd,079550.KQ
SEQL3 BZ,SEQL3.SA,eodhd,SEQL3.SA
3005 TT,3005.TW,eodhd,3005.TW
NES US,,eodhd,NES.US
709 HK,,eodhd,0709.HK
HE US,HE,eodhd,HE.US
UAI LN,,eodhd,UAI.LSE
WES NA,,eodhd,WES.AS
PTLO US,PTLO,eodhd,PTLO.US
JPM US,JPM,eodhd,JPM.US
TNDM US,TNDM,eodhd,TNDM.US
LNTH US,LNTH,eodhd,LNTH.US
CSN SS,,eodhd,CSN.ST
EME CN,,eodhd,EME.TO
OCN US,,eodhd,OCN.US
COMV US,,eodhd,COMV.US
LLP AU,,eodhd,LLP.AU
DSEY US,DSEY,eodhd,DSEY.US
1944 JP,1944.T,yahoo,1944.T
BGFV US,,eodhd,BGFV.US
LNY US,,eodhd,LNY.US
VPC LN,,eodhd,VPC.LSE
ULH US,ULH,eodhd,ULH.US
ACRX US,,eodhd,ACRX.US
TELCB SS,,eodhd,TELCB.ST
049770 KS,,eodhd,049770.KQ
SIGA US,,eodhd,SIGA.US
FURX US,,eodhd,FURX.US
GREA MK,,eodhd,GREA.KLSE
APSG US,,eodhd,APSG.US
ENF CN,,eodhd,ENF.TO
WPL AU,,eodhd,WPL.AU
000150 KS,,eodhd,000150.KQ
BYRN US,,eodhd,BYRN.US
PXP US,,eodhd,PXP.US
IRE AU,IRE.AX,eodhd,IRE.AU
CCOLA TI,,eodhd,CCOLA.IS
MBT CN,,eodhd,MBT.TO
CBAY US,,eodhd,CBAY.US
3593 JP,3593.T,yahoo,3593.T
2452 TT,,eodhd,2452.TWO
LPKR IJ,,eodhd,LPKR.JK
REVG US,REVG,eodhd,REVG.US
CBH AU,,eodhd,CBH.AU
AXON US,AXON,eodhd,AXON.US
8759 JP,,yahoo,
1966 HK,1966.HK,eodhd,1966.HK
PKE US,,eodhd,PKE.US
JUST LN,JUST.L,eodhd,JUST.LSE
CFW CN,,eodhd,CFW.TO
NHF AU,NHF.AX,eodhd,NHF.AU
TNB MK,5347.KL,eodhd,5347.KLSE
HCKT US,,eodhd,HCKT.US
DRN GR,,eodhd,DRN.F
ISCTR TI,,eodhd,ISCTR.IS
JDAS US,,eodhd,JDAS.US
032640 KS,,eodhd,032640.KQ
8924 JP,,yahoo,
BPT LN,BPT.L,eodhd,BPT.LSE
1460 TT,,eodhd,1460.TW
SHAW LN,,eodhd,SHAW.LSE
NARI US,NARI,eodhd,NARI.US
DCN AU,,eodhd,DCN.AU
8188 JP,,yahoo,
SCT LN,SCT.L,eodhd,SCT.LSE
TALX US,,eodhd,TALX.US
CLD US,,eodhd,CLD.US
EREGL TI,,eodhd,EREGL.IS
STJ LN,STJ.L,eodhd,STJ.LSE
1926 JP,1926.T,yahoo,1926.T
EP/U CN,,eodhd,EP/U.TO
USAP US,,eodhd,USAP.US
001630 KS,,eodhd,001630.KQ
179 HK,0179.HK,eodhd,0179.HK
EZI SP,,eodhd,EZI.SG
TROV US,,eodhd,TROV.US
TDG LN,,eodhd,TDG.LSE
XAIR US,,eodhd,XAIR.US
1382 HK,1382.HK,eodhd,1382.HK
IPXL US,,eodhd,IPXL.US
BXE CN,,eodhd,BXE.TO
RES US,RES,eodhd,RES.US
HII US,HII,eodhd,HII.US
RBB US,RBB,eodhd,RBB.US
CURO US,CURO,eodhd,CURO.US
FP/ LN,,eodhd,FP.LSE
WHA NA,,eodhd,WHA.AS
GXY AU,,eodhd,GXY.AU
SUNW US,,eodhd,SUNW.US
PPP US,,eodhd,PPP.US
085370 KS,,eodhd,085370.KQ
ALNA US,,eodhd,ALNA.US
CLSN LN,,eodhd,CLSN.LSE
IPG US,IPG,eodhd,IPG.US
2158 JP,,yahoo,
FBR SJ,,eodhd,FBR.JSE
AEM CN,AEM.TO,eodhd,AEM.TO
OSTE US,,eodhd,OSTE.US
DOFSQ US,,eodhd,DOFSQ.US
MTC TB,,eodhd,MTC.BK
SI US,SI,eodhd,SI.US
CNX US,CNX,eodhd,CNX.US
SEAS US,SEAS,eodhd,SEAS.US
SNBC US,,eodhd,SNBC.US
MNK US,,eodhd,MNK.US
963 CH,,ignore,
EZE SM,,eodhd,EZE.MC
PAYS US,,eodhd,PAYS.US
TDY US,TDY,eodhd,TDY.US
ALGN US,ALGN,eodhd,ALGN.US
JHC AU,,eodhd,JHC.AU
5263 TT,,eodhd,5263.TWO
AURE3 BZ,AURE3.SA,eodhd,AURE3.SA
ENER US,,eodhd,ENER.US
RCI US,,eodhd,RCI.US
RDNT US,RDNT,eodhd,RDNT.US
OTP HB,OTP.BD,eodhd,OTP.BUD
MYG US,,eodhd,MYG.US
7750 JP,,yahoo,
PRS SM,,eodhd,PRS.MC
CDI US,,eodhd,CDI.US
SBBB SS,SBB-B.ST,eodhd,SBB-B.ST
RMO US,,eodhd,RMO.US
1672 HK,1672.HK,eodhd,1672.HK
PGTI US,PGTI,eodhd,PGTI.US
007810 KS,,eodhd,007810.KQ
4435 JP,,yahoo,
GN DC,GN.CO,eodhd,GN.CO
7550 JP,7550.T,yahoo,7550.T
TRAD US,,eodhd,TRAD.US
4816 JP,4816.T,yahoo,4816.T
AIT US,AIT,eodhd,AIT.US
PCP US,,eodhd,PCP.US
ALT SM,,eodhd,ALT.MC
AZO US,AZO,eodhd,AZO.US
ANSI US,,eodhd,ANSI.US
DGI US,,eodhd,DGI.US
6594 JP,6594.T,yahoo,6594.T
AKENR TI,,eodhd,AKENR.IS
ENOP MK,,eodhd,ENOP.KLSE
AN FP,,eodhd,AN.PA
Y US,,eodhd,Y.US
RLOC US,,eodhd,RLOC.US
SOV US,,eodhd,SOV.US
AMMD US,,eodhd,AMMD.US
XXIA US,,eodhd,XXIA.US
WMT US,WMT,eodhd,WMT.US
FNN SP,,eodhd,FNN.SG
BWO NO,BWO.OL,eodhd,BWO.OL
EEMS IM,,eodhd,EEMS.MI
PEM AU,,eodhd,PEM.AU
1233 HK,1233.HK,eodhd,1233.HK
AMCC US,,eodhd,AMCC.US
INTU US,INTU,eodhd,INTU.US
MPI MK,3867.KL,eodhd,3867.KLSE
9992 HK,9992.HK,eodhd,9992.HK
2607 HK,2607.HK,eodhd,2607.HK
HAL US,HAL,eodhd,HAL.US
BRL AU,,eodhd,BRL.AU
DA LN,,eodhd,DA.LSE
WAD GR,,eodhd,WAD.XETRA
AT US,,eodhd,AT.US
VIVT3 BZ,VIVT3.SA,eodhd,VIVT3.SA
148150 KS,,eodhd,148150.KQ
DPZ US,DPZ,eodhd,DPZ.US
HNL CN,,eodhd,HNL.TO
ITL LN,,eodhd,ITL.LSE
PTVE US,PTVE,eodhd,PTVE.US
SRVY US,,eodhd,SRVY.US
3898 HK,3898.HK,eodhd,3898.HK
RPAY US,RPAY,eodhd,RPAY.US
HCSG US,HCSG,eodhd,HCSG.US
VAN LN,,eodhd,VAN.LSE
GLRE US,,eodhd,GLRE.US
RBLX US,RBLX,eodhd,RBLX.US
CHSI US,,eodhd,CHSI.US
ROTH FP,ROTH.PA,eodhd,ROTH.PA
KNX US,KNX,eodhd,KNX.US
FOSL US,,eodhd,FOSL.US
TOP DC,TOP.CO,eodhd,TOP.CO
DBI US,DBI,eodhd,DBI.US
EQR US,,eodhd,EQR.US
TRIL US,,eodhd,TRIL.US
GFAMSAA MF,,eodhd,GFAMSAA.MX
ADV US,ADV,eodhd,ADV.US
AROP US,,eodhd,AROP.US
2809 JP,2809.T,yahoo,2809.T
PCXCQ US,,eodhd,PCXCQ.US
DVA US,DVA,eodhd,DVA.US
EMMS US,,eodhd,EMMS.US
HTL LN,,eodhd,HTL.LSE
CNU NZ,CNU.NZ,yahoo,CNU.NZ
P CN,,eodhd,P.TO
BURE SS,,eodhd,BURE.ST
3197 JP,3197.T,yahoo,3197.T
112610 KS,112610.KS,eodhd,112610.KO
6255 JP,,yahoo,
HRTG US,,eodhd,HRTG.US
RAT LN,RAT.L,eodhd,RAT.LSE
NEX FP,NEX.PA,eodhd,NEX.PA
4901 JP,4901.T,yahoo,4901.T
GCO US,GCO,eodhd,GCO.US
COCO MK,,eodhd,COCO.KLSE
1216 TT,1216.TW,eodhd,1216.TW
MNS US,,eodhd,MNS.US
8853 JP,,yahoo,
839 HK,0839.HK,eodhd,0839.HK
WOLF US,WOLF,eodhd,WOLF.US
4189 JP,4189.T,yahoo,4189.T
MGI US,MGI,eodhd,MGI.US
GFRD LN,,eodhd,GFRD.LSE
PAY US,,eodhd,PAY.US
SCYR SM,SCYR.MC,eodhd,SCYR.MC
2101 TT,,eodhd,2101.TW
LKQX US,,eodhd,LKQX.US
STC US,STC,eodhd,STC.US
SIA SP,C6L.SI,eodhd,C6L.SG
014790 KS,,eodhd,014790.KQ
VREX US,VREX,eodhd,VREX.US
BEN US,BEN,eodhd,BEN.US
B3SA3 BZ,B3SA3.SA,eodhd,B3SA3.SA
CRRC US,,eodhd,CRRC.US
CLXT US,,eodhd,CLXT.US
160550 KS,,eodhd,160550.KQ
CENX US,CENX,eodhd,CENX.US
CLP US,,eodhd,CLP.US
4119 TT,,eodhd,4119.TW
ABC US,ABC,eodhd,ABC.US
MIPS SS,MIPS.ST,eodhd,MIPS.ST
AMLN US,,eodhd,AMLN.US
TBI US,TBI,eodhd,TBI.US
ASII IJ,,eodhd,ASII.JK
LOG LN,,eodhd,LOG.LSE
6572 JP,,yahoo,
PTEC US,,eodhd,PTEC.US
FTT CN,FTT.TO,eodhd,FTT.TO
ENE AU,,eodhd,ENE.AU
TUPRS TI,,eodhd,TUPRS.IS
OSPN US,OSPN,eodhd,OSPN.US
8920 JP,8920.T,yahoo,8920.T
SQN SW,,eodhd,SQN.SW
BHF US,BHF,eodhd,BHF.US
DXL AU,,eodhd,DXL.AU
VVI US,VVI,eodhd,VVI.US
HTHR US,,eodhd,HTHR.US
WNG US,,eodhd,WNG.US
STCK US,,eodhd,STCK.US
CEL IT,CEL.TA,eodhd,CEL.TA
NVG PL,NVG.LS,eodhd,NVG.LS
3048 JP,3048.T,yahoo,3048.T
1929 HK,1929.HK,eodhd,1929.HK
PETZ3 BZ,PETZ3.SA,eodhd,PETZ3.SA
BWLD US,,eodhd,BWLD.US
004020 KS,004020.KS,eodhd,004020.KQ
4825 JP,,yahoo,
097230 KS,,eodhd,097230.KQ
1537 TT,,eodhd,1537.TW
MFW LN,,eodhd,MFW.LSE
ATKR US,,eodhd,ATKR.US
VRM US,,eodhd,VRM.US
6991 JP,,yahoo,
GE US,GE,eodhd,GE.US
RCDO LN,,eodhd,RCDO.LSE
665 HK,0665.HK,eodhd,0665.HK
000810 KS,000810.KS,eodhd,000810.KQ
PEC FP,,eodhd,PEC.PA
SO IM,,eodhd,SO.MI
TDC MK,5031.KL,eodhd,5031.KLSE
7716 JP,7716.T,yahoo,7716.T
CCM LN,,eodhd,CCM.LSE
CODI US,CODI,eodhd,CODI.US
UHRN SW,,eodhd,UHRN.SW
PHM US,PHM,eodhd,PHM.US
8263 JP,,yahoo,
NONG NO,NONG.OL,eodhd,NONG.OL
BPC AU,,eodhd,BPC.AU
PDII US,,eodhd,PDII.US
ASCN SW,,eodhd,ASCN.SW
WES US,,eodhd,WES.US
DOL US,,eodhd,DOL.US
MRFG3 BZ,MRFG3.SA,eodhd,MRFG3.SA
ABMD US,ABMD,eodhd,ABMD.US
099220 KS,,eodhd,099220.KQ
JXN US,JXN,eodhd,JXN.US
LJQQ3 BZ,LJQQ3.SA,eodhd,LJQQ3.SA
MDB US,MDB,eodhd,MDB.US
ESTC US,ESTC,eodhd,ESTC.US
AEN US,,eodhd,AEN.US
WASH US,WASH,eodhd,WASH.US
BIZIM TI,,eodhd,BIZIM.IS
WALMEX* MF,,eodhd,WALMEX.MX
ATR US,ATR,eodhd,ATR.US
NFX US,,eodhd,NFX.US
NNN US,,eodhd,NNN.US
5706 JP,5706.T,yahoo,5706.T
DW CN,,eodhd,DW.TO
HNZ US,,eodhd,HNZ.US
CDL US,,eodhd,CDL.US
JOY US,,eodhd,JOY.US
1925 JP,1925.T,yahoo,1925.T
PODD US,PODD,eodhd,PODD.US
CTF SM,,eodhd,CTF.MC
CDAK US,,eodhd,CDAK.US
MOLX US,,eodhd,MOLX.US
BETR US,,eodhd,BETR.US
RCI/B CA,,ignore,
1871 JP,,yahoo,
CBF US,,eodhd,CBF.US
RYI US,RYI,eodhd,RYI.US
SSI GR,,eodhd,SSI.XETRA
AFMD US,AFMD,eodhd,AFMD.US
GAME IM,,eodhd,GAME.MI
ZEN CN,,eodhd,ZEN.V
CRI FP,,eodhd,CRI.PA
TROX US,TROX,eodhd,TROX.US
LAVV3 BZ,,eodhd,LAVV3.SA
6310 JP,,yahoo,
SOL SJ,SOL.JO,eodhd,SOL.JSE
JBL US,JBL,eodhd,JBL.US
AGO PW,,eodhd,AGO.WAR
NEWAB SS,NEWA-B.ST,eodhd,NEWA-B.ST
JP US,,eodhd,JP.US
PPC SJ,,eodhd,PPC.JSE
DELM SP,,eodhd,DELM.SG
SGTL US,,eodhd,SGTL.US
064350 KS,064350.KS,eodhd,064350.KQ
YBTVA US,,eodhd,YBTVA.US
QTWW US,,eodhd,QTWW.US
BCOV US,BCOV,eodhd,BCOV.US
CAST SS,CAST.ST,eodhd,CAST.ST
2545 TT,,eodhd,2545.TW
MGNS LN,MGNS.L,eodhd,MGNS.LSE
EYET US,,eodhd,EYET.US
040910 KS,,eodhd,040910.KQ
TPH US,TPH,eodhd,TPH.US
LTHM US,LTHM,eodhd,LTHM.US
ARJOB SS,ARJO-B.ST,eodhd,ARJO-B.ST
KND US,,eodhd,KND.US
326030 KS,326030.KS,eodhd,326030.KQ
PCAR3 BZ,PCAR3.SA,eodhd,PCAR3.SA
